mid,GMT+8 Date,GMT+8 Time,Note,TG_Count,Lat,Lng,Link,DateUS,DateHK,Days,,,,,,
50035196,8/5/2019,19:11:59,1909 黃大仙宿舍外繼續有零星催淚彈射出，現場正上映幻彩詠香江,1,22.34049847,114.1959339,https://hkmap.live/mid/50035196,8/5/2019,5/8/2019,111,,,,,,1
50047662,8/5/2019,19:32:46,#荃灣 現場社工影到 TG上左荃灣明愛社區中心,1,22.37126447,114.1215777,https://hkmap.live/mid/50047662,8/5/2019,5/8/2019,111,,,,,,1
50052172,8/5/2019,19:40:17,1937 宿舍外再射出數發催淚彈,5,22.34111517,114.1965294,https://hkmap.live/mid/50052172,8/5/2019,5/8/2019,111,,,,,,5
50087562,8/5/2019,20:39:16,警方於葵芳站附近發射催淚彈，有人抽搐並倒臥地上,1,22.35686288,114.127897,https://hkmap.live/mid/50087562,8/5/2019,5/8/2019,111,,,,,,1
50089988,8/5/2019,20:43:18,ssp狗屋2催淚彈,2,22.32985155,114.1591287,https://hkmap.live/mid/50089988,8/5/2019,5/8/2019,111,,,,,,2
50097503,8/5/2019,20:55:50,北角警署已發射五顆tg,5,22.29158812,114.2092484,https://hkmap.live/mid/50097503,8/5/2019,5/8/2019,111,,,,,,5
50160755,8/5/2019,22:41:15,"彌敦道太子道交界已放tg, at least 5 shot",5,22.32400601,114.1681677,https://hkmap.live/mid/50160755,8/5/2019,5/8/2019,111,,,,,,5
50161202,8/5/2019,22:42:00,屯門放左數枚催淚,5,22.39414618,113.9729941,https://hkmap.live/mid/50161202,8/5/2019,5/8/2019,111,,,,,,5
50165004,8/5/2019,22:48:20,沙田警署外 警方發射多枚催淚彈,5,22.38669627,114.1928601,https://hkmap.live/mid/50165004,8/5/2019,5/8/2019,111,,,,,,5
50165570,8/5/2019,22:49:17,沙田警署外 有警方故意向天橋上的方民眾及射催淚彈 #蘋果,1,22.38626474,114.1928279,https://hkmap.live/mid/50165570,8/5/2019,5/8/2019,111,,,,,,1
50168946,8/5/2019,22:54:54,沙田狗屋3粒tg,3,22.38651275,114.1923398,https://hkmap.live/mid/50168946,8/5/2019,5/8/2019,111,,,,,,3
50178707,8/5/2019,23:11:10,沙田狗署出催淚彈,1,22.38652763,114.1928709,https://hkmap.live/mid/50178707,8/5/2019,5/8/2019,111,,,,,,1
50182957,8/5/2019,23:18:15,北角狗向無人嘅英皇道放催淚彈,1,22.29179659,114.2091036,https://hkmap.live/mid/50182957,8/5/2019,5/8/2019,111,,,,,,1
50188977,8/5/2019,23:28:17,太子警署外 6發催淚彈,6,22.32407548,114.169085,https://hkmap.live/mid/50188977,8/5/2019,5/8/2019,111,,,,,,6
50193299,8/5/2019,23:35:29,屯門V city 警方施放催淚煙,1,22.39478104,113.9746624,https://hkmap.live/mid/50193299,8/5/2019,5/8/2019,111,,,,,,1
50194947,8/5/2019,23:38:14,彌敦道700 號旺角道十字路口外施放多枚催淚彈,5,22.32095909,114.1690099,https://hkmap.live/mid/50194947,8/5/2019,5/8/2019,111,,,,,,5
50210118,8/6/2019,00:03:31,屯門 警方施放催淚彈,1,22.39533654,113.9744264,https://hkmap.live/mid/50210118,8/6/2019,6/8/2019,110,,,,,,5
50213476,8/6/2019,00:09:07,杯渡路橋底 催淚彈五粒,1,22.39421562,113.9726079,https://hkmap.live/mid/50213476,8/6/2019,6/8/2019,110,,,,,,5
50220565,8/6/2019,00:20:56,始創中心門外已向旺角方向發射催淚彈。,1,22.32147519,114.1689509,https://hkmap.live/mid/50220565,8/6/2019,6/8/2019,110,,,,,,
50243895,8/6/2019,00:59:49,旺角 警方施放多枚催淚彈,5,22.32299369,114.1685861,https://hkmap.live/mid/50243895,8/6/2019,6/8/2019,110,,,,,,
50262206,8/6/2019,01:30:20,旺角警署外又發射幾發催淚彈,5,22.32393654,114.168275,https://hkmap.live/mid/50262206,8/6/2019,6/8/2019,110,,,,,,
50263048,8/6/2019,01:31:44,警察於旺角警署陽台上發射幾發催淚彈,5,22.32413503,114.1693157,https://hkmap.live/mid/50263048,8/6/2019,6/8/2019,110,,,,,,
50263300,8/6/2019,01:32:10,0127 旺角警署外發射左催淚彈,1,22.32428692,114.169577,https://hkmap.live/mid/50263300,8/6/2019,6/8/2019,110,,,,,,
51123885,8/7/2019,01:26:28,再出催淚彈,1,22.33130049,114.1605341,https://hkmap.live/mid/51123885,8/7/2019,7/8/2019,109,,,,,,
